"Time","Value (°C)"
"2019/01/21 08:15:00","18.3705"
"2019/01/21 08:10:00","18.3869"
"2019/01/21 08:05:00","18.5023"
"2019/01/21 08:00:00","18.6866"
"2019/01/21 07:55:00","18.7803"
"2019/01/21 07:50:00","18.7885"
"2019/01/21 07:45:00","18.7843"
"2019/01/21 07:40:00","18.7358"
"2019/01/21 07:35:00","18.6848"
"2019/01/21 07:30:00","18.643"
"2019/01/21 07:25:00","18.5844"
"2019/01/21 07:20:00","18.5854"
"2019/01/21 07:15:00","18.5834"
"2019/01/21 07:10:00","18.5525"
"2019/01/21 07:05:00","18.6088"
"2019/01/21 07:00:00","18.643"
"2019/01/21 06:55:00","18.6353"
"2019/01/21 06:50:00","18.6486"
"2019/01/21 06:45:00","18.5889"
"2019/01/21 06:40:00","18.6328"
"2019/01/21 06:35:00","18.5746"
"2019/01/21 06:30:00","18.6147"
"2019/01/21 06:25:00","18.5987"
"2019/01/21 06:20:00","18.6234"
"2019/01/21 06:15:00","18.6234"
"2019/01/21 06:10:00","18.6352"
"2019/01/21 06:05:00","18.6086"
"2019/01/21 06:00:00","18.6488"
"2019/01/21 05:55:00","18.6234"
"2019/01/21 05:50:00","18.6186"
"2019/01/21 05:45:00","18.6055"
"2019/01/21 05:40:00","18.65"
"2019/01/21 05:35:00","18.6215"
"2019/01/21 05:30:00","18.5286"
"2019/01/21 05:25:00","18.5013"
"2019/01/21 05:20:00","18.486"
"2019/01/21 05:15:00","18.5011"
"2019/01/21 05:10:00","18.5013"
"2019/01/21 05:05:00","18.5015"
"2019/01/21 05:00:00","18.4655"
"2019/01/21 04:55:00","18.4769"
"2019/01/21 04:50:00","18.4199"
"2019/01/21 04:45:00","18.4361"
"2019/01/21 04:40:00","18.4672"
"2019/01/21 04:35:00","18.4165"
"2019/01/21 04:30:00","18.4121"
"2019/01/21 04:25:00","18.4037"
"2019/01/21 04:20:00","18.3577"
"2019/01/21 04:15:00","18.4125"
"2019/01/21 04:10:00","18.388"
"2019/01/21 04:05:00","18.3443"
"2019/01/21 04:00:00","18.306"
"2019/01/21 03:55:00","18.2767"
"2019/01/21 03:50:00","18.2935"
"2019/01/21 03:45:00","18.3109"
"2019/01/21 03:40:00","18.3304"
"2019/01/21 03:35:00","18.3887"
"2019/01/21 03:30:00","18.4168"
"2019/01/21 03:25:00","18.4281"
"2019/01/21 03:20:00","18.4193"
"2019/01/21 03:15:00","18.433"
"2019/01/21 03:10:00","18.4155"
"2019/01/21 03:05:00","18.4058"
"2019/01/21 03:00:00","18.4818"
"2019/01/21 02:55:00","18.4769"
"2019/01/21 02:50:00","18.3996"
"2019/01/21 02:45:00","18.2997"
"2019/01/21 02:40:00","18.2278"
"2019/01/21 02:35:00","18.211"
"2019/01/21 02:30:00","18.2093"
"2019/01/21 02:25:00","18.2592"
"2019/01/21 02:20:00","18.1839"
"2019/01/21 02:15:00","18.232"
"2019/01/21 02:10:00","18.3014"
"2019/01/21 02:05:00","18.3677"
"2019/01/21 02:00:00","18.3792"
"2019/01/21 01:55:00","18.457"
"2019/01/21 01:50:00","18.5209"
"2019/01/21 01:45:00","18.6234"
"2019/01/21 01:40:00","18.6967"
"2019/01/21 01:35:00","18.9526"
