Ave_Time,AVE Book1,FillHour,FillDate,New
2018-12-30 15:00:00,9710.694978679994,15.0,2018-12-30,2018-12-30 15:00:00
2018-12-30 19:00:00,9675.432268817636,19.0,2018-12-30,2018-12-30 19:00:00
2018-12-30 23:00:00,9676.620677680006,23.0,2018-12-30,2018-12-30 23:00:00
2018-12-31 03:00:00,9610.557225931863,3.0,2018-12-31,2018-12-31 03:00:00
2018-12-31 07:00:00,10006.151546553107,7.0,2018-12-31,2018-12-31 07:00:00
2018-12-31 11:00:00,10183.300626800008,11.0,2018-12-31,2018-12-31 11:00:00
2018-12-31 15:00:00,9783.252017360011,15.0,2018-12-31,2018-12-31 15:00:00
2018-12-31 19:00:00,9763.867407980006,19.0,2018-12-31,2018-12-31 19:00:00
2018-12-31 23:00:00,9746.288503720007,23.0,2018-12-31,2018-12-31 23:00:00
2019-01-01 03:00:00,9726.533720880001,3.0,2019-01-01,2019-01-01 03:00:00
2019-01-01 07:00:00,10265.420626000008,7.0,2019-01-01,2019-01-01 07:00:00
2019-01-01 11:00:00,10247.0378196,11.0,2019-01-01,2019-01-01 11:00:00
2019-01-01 15:00:00,10308.490107600011,15.0,2019-01-01,2019-01-01 15:00:00
2019-01-01 19:00:00,10196.817976879991,19.0,2019-01-01,2019-01-01 19:00:00
2019-01-01 23:00:00,10046.726731039997,23.0,2019-01-01,2019-01-01 23:00:00
2019-01-02 03:00:00,9947.84364951999,3.0,2019-01-02,2019-01-02 03:00:00
2019-01-02 07:00:00,9838.721715250493,7.0,2019-01-02,2019-01-02 07:00:00
2019-01-02 11:00:00,9976.616348597196,11.0,2019-01-02,2019-01-02 11:00:00
2019-01-02 15:00:00,10063.837698859994,15.0,2019-01-02,2019-01-02 15:00:00
2019-01-02 19:00:00,9744.225754288573,19.0,2019-01-02,2019-01-02 19:00:00
2019-01-02 23:00:00,9548.84369924,23.0,2019-01-02,2019-01-02 23:00:00
2019-01-03 03:00:00,9536.213629040005,3.0,2019-01-03,2019-01-03 03:00:00
2019-01-03 07:00:00,9871.371170279992,7.0,2019-01-03,2019-01-03 07:00:00
